threshold,precision,recall,f1,TP,FN,FP
0.1,0.8741341907918644,0.9752085406454625,0.9219092967888044,79381,2018,11430
0.2,0.8742593449194916,0.9752085406454625,0.9219788962641625,79381,2018,11417
0.3,0.8742675888805674,0.9751962554822541,0.9219779900693981,79380,2019,11416
0.4,0.8742675888805674,0.9751962554822541,0.9219779900693981,79380,2019,11416
0.5,0.8742772179084751,0.9751962554822541,0.9219833443673996,79380,2019,11415
0.6,0.8745276471041875,0.9751962554822541,0.9221225779471214,79380,2019,11389
0.7,0.874537281861449,0.9751962554822541,0.9221279339246197,79380,2019,11388
0.8,0.874537281861449,0.9751962554822541,0.9221279339246197,79380,2019,11388
0.9,0.8751736455645962,0.9751962554822541,0.9224815660571408,79380,2019,11322
